r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00457492229768224,7.03723839347667e-06,5.00163981099486
1,4,5,0.00455428373874588,7.91497628568822e-06,2.29644503590794
1,4,6,0.00454599199701798,7.84180022257813e-06,8.80290288557709
1,5,6,0.00453585828258026,8.44784662280722e-06,1.79226546755765
1,5,7,0.0045274080588206,8.52321147917034e-06,8.72740472191377
1,6,7,0.0045180889968634,8.78206853060583e-06,3.01755988100052
1,6,8,0.00451041092782099,9.18067860854972e-06,8.33218526573103
1,7,8,0.00449742000410142,1.03150539390365e-05,1.19231290511711
1,7,9,0.00449102981904178,1.0873587435956e-05,4.23457803342299
1,8,9,0.00448129531953075,1.1754133166115e-05,1.02916723689724
1,8,10,0.00447228106801356,1.22231856494065e-05,5.2439160524083
1,9,10,0.00446015890937108,1.33586194001619e-05,1.47224569944725
1,9,11,0.00444643593523021,1.36386715331915e-05,8.45571094745973
1,10,11,0.00443182607273365,1.41764530515227e-05,2.83758221000295

2,5,6,0.00644403305387634,1.63139137817938e-05,9.12198694478877
2,7,8,0.00629120654632808,1.87009666906597e-05,6.98615340563533
2,8,9,0.00622296447276719,2.0174669537548e-05,7.13008349132838
2,9,10,0.00613201236460659,2.31943288917563e-05,8.20008189621793






