r,t1,t2,meff,dmeff,chisqr

1,1,3,0.256466217838443,0.000309675336251957,8.18586118788458
1,1,4,0.256334614902239,0.000319952184677399,6.78907614037924
1,1,5,0.256294928283924,0.00032990300717152,5.2811434126667
1,1,6,0.256217359153538,0.000337417127345419,5.16993491214739
1,1,7,0.256131811745067,0.000342765865866455,5.90564138892792
1,1,8,0.256046475841872,0.000347373350297448,7.63782248686269
1,1,9,0.255980277605129,0.000350656095708462,9.18061717174809
1,1,10,0.255943973762719,0.000352654281406338,9.44213156391486
1,1,11,0.255923398232924,0.000353963522963538,9.26184647590035
1,1,12,0.255911510696464,0.000354884190167184,8.98225698709434
1,1,13,0.255903556341321,0.00035543458676987,8.82219760339001
1,2,3,0.255627400257954,0.000380830430166526,0.200773310214252
1,2,4,0.255544058388221,0.000396483275170058,0.315021395477926
1,2,5,0.255550687580383,0.000412231608914118,0.212197489964335
1,2,6,0.25546336793624,0.000424163656276962,0.657542747346203
1,2,7,0.255347449839508,0.000432347480565809,1.74831678135113
1,2,8,0.255220630483503,0.000440044342706377,3.81736892895051
1,2,9,0.255119605901148,0.000445545774757584,5.66609519585028
1,2,10,0.255064312620007,0.000449017070399519,6.17043048792614
1,2,11,0.255032667772961,0.000451409030795037,6.21523425187964
1,2,12,0.255014002288037,0.000453161261864671,6.14943574766706
1,2,13,0.255001234744871,0.000454193748134227,6.19339571846786
1,2,14,0.254984495077801,0.000454924432200455,7.88761397413281
1,3,4,0.25534880596049,0.000496300179461198,0.118167383357036
1,3,5,0.255396645009597,0.00051804544435644,0.10293016605261
1,3,6,0.255257748623997,0.000534525888498616,0.571133761428572
1,3,7,0.255070293872713,0.000546782097279408,1.72299631688711
1,3,8,0.254863315527704,0.000559225656693219,3.93127178420456
1,3,9,0.2546988464721,0.000567851126944328,5.8371944209473
1,3,10,0.254609638832056,0.000573736531122217,6.26592974605524
1,3,11,0.254558491259021,0.00057815058835301,6.23850887351848
1,3,12,0.254528006274756,0.000581342836269445,6.12682660614038
1,3,13,0.254506902118322,0.000583207402371748,6.15466559920662
1,3,14,0.254478913840013,0.000584572046452025,7.97856288196421
1,4,5,0.255340277417495,0.000631869398677267,0.17873101418262
1,4,6,0.255101349779827,0.000652012545609489,0.711112403401198
1,4,7,0.25479787239025,0.000670842911404328,1.94341635660815
1,4,8,0.254467641259829,0.000691378703639428,4.29927326144919
1,4,9,0.254208365065093,0.000706090831895273,6.21025386414995
1,4,10,0.254069859003317,0.000716633661329679,6.4876509863552
1,4,11,0.253990378318139,0.000724868051915559,6.33893450970825
1,4,12,0.253942394826315,0.000730808223461097,6.15369982942118
1,4,13,0.253908676667168,0.000734294906262101,6.1516727847288
1,4,14,0.253863326058066,0.000736902566198228,8.12129429378975
1,5,6,0.255011749369519,0.000809517788551042,1.3820574762107
1,5,7,0.254471008342699,0.000830364739778548,2.53786560412165
1,5,8,0.25392339435641,0.000862840556305702,4.91051431159755
1,5,9,0.253506638685224,0.000888904352511913,6.6471431356314
1,5,10,0.25329028742827,0.000908657464896413,6.6349414865226
1,5,11,0.253166112743507,0.000923854139826265,6.30138692123329
1,5,12,0.253089615101851,0.000935092537952047,6.02048587669292
1,5,13,0.253034603845563,0.000941972864759965,5.98697072906583
1,5,14,0.252959033691667,0.000947154980908823,8.13409088961394
1,6,7,0.253432225726364,0.00099417473868112,1.24737477690125
1,6,8,0.25265605504789,0.00104572729276386,3.52528127894047
1,6,9,0.252066460431569,0.00108777564853492,5.03438397739351
1,6,10,0.251772828969803,0.00112071052143515,4.8651835854438
1,6,11,0.251601458953814,0.00114666929427641,4.54326650436895
1,6,12,0.251490070695965,0.00116723670174711,4.3578903211242
1,6,13,0.251405745767001,0.00118047513666653,4.45951804255651
1,6,14,0.251284880607514,0.00119020580709773,6.94319295527161
1,7,8,0.251171062241603,0.0012996710814232,2.60261358466266
1,7,9,0.250323455232138,0.00136677286077082,3.53224319927055
1,7,10,0.249938301371947,0.00142555919441168,3.1127199412281
1,7,11,0.249706117136121,0.00147660197629015,2.81257800666181
1,7,12,0.249540792963916,0.00151730539020617,2.74498036943935
1,7,13,0.249405796664554,0.00154498057312807,3.00287787631371
1,7,14,0.249201083974573,0.00156518176082468,5.87982197759154
1,8,9,0.247934515138491,0.00174706350508531,1.16492158025477
1,8,10,0.247545050804841,0.00184425501767142,0.850861289262423
1,8,11,0.247270371235564,0.00193936561242075,0.800725041456466
1,8,12,0.247027230244593,0.00201802792059766,0.968745751745503
1,8,13,0.246800984220687,0.00207557552399628,1.45129619714278
1,8,14,0.246428736067665,0.00211790638695864,4.81328421254802
1,9,10,0.245811901737081,0.00237992611210776,0.0189706238908543
1,9,11,0.245508154152907,0.0025509290962217,0.106853386552089
1,9,12,0.245131245626491,0.00270366485823581,0.370598925857374
1,9,13,0.244734047972884,0.00282200967124726,0.965599261255119
1,9,14,0.244035470594261,0.00291015854599854,4.85302076008282
1,10,11,0.244888518974669,0.00334303761612826,0.107077735104265
1,10,12,0.244161439154826,0.003631642433052,0.398797771880928
1,10,13,0.243380714491293,0.00387476403631217,1.06926041196876
1,10,14,0.241971030893332,0.00406086472286604,5.67452766129308
1,11,12,0.242265757430381,0.00495701913240196,0.359724818623375
1,11,13,0.240663655565098,0.00545502788459025,1.07902094050605
1,11,14,0.237611527164908,0.00585196961218306,6.60721877790698
1,12,13,0.235384823082497,0.00783502284442627,0.868471157947784
1,12,14,0.22817296232534,0.00866640257156788,7.49710704057187
1,13,14,0.209261990641914,0.0125212737511146,8.37987508118163
