r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00842114127862324,1.36009831352161e-05,6.38815879589481
1,4,5,0.00837890660877514,1.51855443417919e-05,2.50447926434847
1,4,6,0.00836570790733857,1.54847584427921e-05,7.61605352523021
1,5,6,0.0083455693579862,1.69938924358351e-05,1.215009796961
1,5,7,0.0083277667765867,1.73131244602839e-05,8.9517349841936
1,6,7,0.00830856555280187,1.82215586374859e-05,3.65784657812033
1,6,8,0.0082943856825727,1.91532280682317e-05,7.97937768629557
1,7,8,0.00826787741742451,2.11418158247953e-05,0.718689225387721
1,7,9,0.00825572103232845,2.2322392310558e-05,3.33859074300792
1,8,9,0.00823846703897271,2.42723215581201e-05,1.00769939872064
1,8,10,0.00821925703096386,2.52658413492872e-05,5.5555499029775
1,9,10,0.00819422944650355,2.74497285522479e-05,1.69888862326322
1,9,11,0.00816789472015964,2.8372455006467e-05,8.13505444214271
1,10,11,0.00813651032477483,2.97714721192601e-05,2.43737462136637

2,5,6,0.0118594698114841,3.02484991252795e-05,8.23790595517618
2,7,8,0.0115721556361551,3.63626354909034e-05,5.47365552231865
2,8,9,0.0114543372052554,3.95481250280395e-05,5.80187196654035
2,9,10,0.0112834309414638,4.57838723154544e-05,8.11611705244993






