r,t1,t2,meff,dmeff,chisqr

1,4,5,0.00258766784438833,7.62624006154998e-06,4.05119530956291
1,5,6,0.00256324669958367,8.11481665713951e-06,5.33941097971223
1,6,7,0.00253946559670141,8.50286332949974e-06,2.60312838202549
1,7,8,0.00251642918285119,9.8272324007362e-06,3.70621535493759
1,8,9,0.00249094641192185,1.11228800848177e-05,1.95102265579907
1,9,10,0.00246396453979181,1.24888201166426e-05,3.45344995054906
1,10,11,0.00242852809468406,1.35439618887111e-05,2.91452758165349
1,11,12,0.00238631151091043,1.41613076967295e-05,7.6340052609524

2,8,9,0.00319507173264089,2.14362449471668e-05,8.91663806305901



