r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00720860161016405,1.14928897569698e-05,5.61549110848367
1,4,5,0.00717349586663527,1.27875620945866e-05,2.88188811543745
1,4,6,0.00716118383923056,1.29667628012547e-05,9.02171289125898
1,5,6,0.00714301710234112,1.41986593192396e-05,1.48409762622678
1,5,7,0.00712890067932606,1.444318491384e-05,8.48843409827347
1,6,7,0.00711278916572123,1.51556281884954e-05,3.07574628183225
1,6,8,0.00710067108914003,1.59157793121505e-05,7.59856982171613
1,7,8,0.00707931844790064,1.76724859060574e-05,0.911638462701015
1,7,9,0.00706835640690582,1.86619668194604e-05,3.97110627148073
1,8,9,0.00705256586460034,2.0250776815698e-05,1.15157175316847
1,8,10,0.00703670397717631,2.10190386605629e-05,5.52343484733792
1,9,10,0.0070154089441426,2.28272782045461e-05,1.48271292751664
1,9,11,0.00699346396250798,2.34491566860839e-05,7.74394260942014
1,10,11,0.00696908440203104,2.43824263009294e-05,2.47720711964093

2,5,6,0.0101522987523264,2.68242159236411e-05,8.63313956633757
2,6,7,0.0100469779711177,2.76257538577059e-05,9.25718929410596
2,7,8,0.00991185170743351,3.20255034549499e-05,6.00106316436159
2,8,9,0.00980310380810269,3.50866099437383e-05,6.2221515171643
2,9,10,0.00965503197986712,4.0472180404593e-05,6.73419507703884






