r,meff,dmeff,config
1,0.266589017047429,0.00039034531651146,5
2,0.465039876903689,0.0026773779227759,4
3,0.625823798504092,0.0033456932113712,8
4,0.782343532092209,0.0079441156210716,2
5,0.917206798685722,0.0221238916525512,2
6,1.10514243965415,0.0192856185828313,1
