r,t1,t2,meff,dmeff,chisqr

1,2,3,0.0171597694403957,2.63536960736461e-05,8.68324130053162
1,3,4,0.0170402145387108,2.97852081161288e-05,5.74665205366475
1,4,5,0.0169507569149408,3.13508899324551e-05,2.70523860803445
1,4,6,0.0169248968754126,3.13486185466112e-05,6.90115270399596
1,5,6,0.016888823486822,3.3096872031853e-05,0.8702974425981
1,5,7,0.0168542972338603,3.31128115033309e-05,8.41090748219054
1,6,7,0.0168202394601394,3.47860525215603e-05,3.89100822575569
1,6,8,0.0167946463119729,3.67665647920283e-05,7.83063528909892
1,7,8,0.016742062084475,4.15713429789731e-05,0.583675781773048
1,7,9,0.0167157632253883,4.34619316903632e-05,3.58080398244535
1,8,9,0.0166815901609165,4.74547504611974e-05,1.21740314257174
1,8,10,0.0166396892016007,4.92670695711181e-05,6.82760826171096
1,9,10,0.0165886904928301,5.25464734439864e-05,2.25763845738498
1,9,11,0.0165416923870356,5.4569594976814e-05,7.97052331855332
1,10,11,0.0164765562953456,5.79631110345726e-05,1.7457853740317

2,5,6,0.0240174553291254,6.09985322734007e-05,9.1275836783053
2,7,8,0.0234456054330083,7.64191125207623e-05,5.35961434981157
2,8,9,0.0231674241142564,8.97312227149742e-05,4.76753074875889
2,9,10,0.022828589302923,9.84568573117986e-05,7.43792822782228






