r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00559274121720503,8.64715657423682e-06,5.72158323102834
1,4,5,0.00556696301077207,9.63120582440618e-06,2.25765767626552
1,4,6,0.00555785867956705,9.66859215125342e-06,7.80443091037455
1,5,6,0.00554567340849517,1.05122865769491e-05,1.4276690823706
1,5,7,0.00553491951215757,1.06743591035921e-05,8.81029297003984
1,6,7,0.00552338442140449,1.10987576290592e-05,3.4508587768482
1,6,8,0.00551419336998324,1.16266244289135e-05,8.30999344127497
1,7,8,0.00549755907996971,1.29931491906548e-05,0.908495884340417
1,7,9,0.00549006514872642,1.37272420083177e-05,3.57471817779849
1,8,9,0.00547889815670776,1.48650613561646e-05,0.961004610336569
1,8,10,0.00546729054282212,1.54674562977919e-05,5.33195967957235
1,9,10,0.00545201724791202,1.68993614702658e-05,1.59247644219006
1,9,11,0.00543461210305825,1.72958445678308e-05,8.68199695498807
1,10,11,0.00541568339414951,1.79765287244469e-05,2.83465815084063

2,5,6,0.00788105174495151,2.07262584085508e-05,8.59455700221188
2,7,8,0.00769388801086375,2.36006629020888e-05,6.44401273081002
2,8,9,0.00761362013203673,2.57849194888493e-05,6.0686216376253
2,9,10,0.00750064249121624,3.01759267734245e-05,7.63254110101962






