r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00453490016292065,1.18365442541475e-05,9.75704786518772
1,4,5,0.00448279221282747,1.35163580336065e-05,4.11778093913284
1,5,6,0.00443896719206839,1.38593883410725e-05,5.83983077905056
1,6,7,0.00439636072689094,1.43824875619632e-05,3.30652243181195
1,7,8,0.00435294639074781,1.67860434789627e-05,4.06196718737935
1,8,9,0.00430743615810462,1.88019686609023e-05,2.17045367614812
1,9,10,0.00426116974333074,2.0980529910521e-05,3.50898281253413
1,10,11,0.00419921448279869,2.2915826457221e-05,3.25307094544538
1,11,12,0.00412566157697245,2.39173217375652e-05,7.70499382108488

2,8,9,0.00551294225279018,3.67510778052431e-05,9.3670599483848



