r,t1,t2,meff,dmeff,chisqr

1,3,4,0.0071584993247101,1.89151344588033e-05,8.8991179903168
1,4,5,0.0070785566584134,2.19884235158606e-05,3.61860918188631
1,5,6,0.007009280640555,2.2696302389474e-05,5.63048173256693
1,6,7,0.00694010956837201,2.32570862925105e-05,3.47578562506872
1,7,8,0.00686931644720837,2.66401183404287e-05,4.22535897832184
1,8,9,0.00679818244221805,2.94261846372806e-05,2.03683865816806
1,9,10,0.00672782123602317,3.29073227363453e-05,3.41795315617881
1,10,11,0.00663215428238179,3.63218627146981e-05,3.09235600853312
1,11,12,0.00651376756975392,3.8017019783002e-05,8.09543923110783

2,8,9,0.00868301266573857,5.84515907648964e-05,9.43465490295277



