r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00278690790019142,4.39823880552151e-06,5.39393153005008
1,4,5,0.00277445550237704,4.85462352503947e-06,1.9029654968254
1,4,6,0.00276986433170502,4.81557915919037e-06,7.20810867101607
1,5,6,0.00276433072091169,5.12910064604405e-06,1.46852995270386
1,5,7,0.00275899874333553,5.16546111251478e-06,8.92138238293973
1,6,7,0.00275349763635979,5.33156765378504e-06,3.52551541432136
1,6,8,0.00274899622848985,5.58725322360864e-06,8.58859883026008
1,7,8,0.00274078898233677,6.29403573660337e-06,0.979314868062773
1,7,9,0.00273700737182881,6.59769631251204e-06,3.71056536481969
1,8,9,0.00273149714095364,7.1273258032519e-06,0.912163421494911
1,8,10,0.00272574563179074,7.35682442371485e-06,5.42494593837672
1,9,10,0.00271882859341982,7.89292966305426e-06,1.75269978825259
1,9,11,0.00271025237702547,8.081134660308e-06,9.68241107339034
1,10,11,0.00270088795135626,8.42324061687983e-06,3.20906274068768

2,4,5,0.00397903663135256,1.01482021188646e-05,9.57893513653001
2,5,6,0.00392938884859931,1.02278141412642e-05,8.53446404030936
2,7,8,0.00383699111250267,1.1934354506295e-05,6.3640202786112
2,8,9,0.00379430751923978,1.28969269688198e-05,5.97767519814466
2,9,10,0.00374036694648229,1.44160196343571e-05,8.30214639730611






