r,t1,t2,meff,dmeff,chisqr

1,2,3,0.0260588427194984,4.19342898355375e-05,7.7017310109736
1,3,4,0.0258857171462608,4.65640178699369e-05,3.86669925999805
1,4,5,0.0257519414210336,4.91774203646651e-05,4.20770571557692
1,5,6,0.0256313434689879,5.36046185346705e-05,1.04082099535314
1,6,7,0.0255048381478126,5.2131384390161e-05,4.76352213072328
1,7,8,0.0253826049305001,5.69684210271287e-05,0.974189628916576
1,7,9,0.0253377011323057,5.98070981649374e-05,5.80583196732718
1,8,9,0.0252802716974247,6.44162660908862e-05,2.11011054959928
1,8,10,0.0252294648187992,6.79007917267555e-05,7.10280775176073
1,9,10,0.0251442067674563,7.53100481131043e-05,1.48000259234187
1,9,11,0.0250708647590495,7.82466628573063e-05,8.24522723698815
1,10,11,0.0249774018157139,8.47309294472117e-05,2.56067486763825

2,5,6,0.0364532645909497,9.17524285097991e-05,8.83906811170296
2,7,8,0.0355373657039394,0.000112805145060902,5.03111016378869
2,8,9,0.0351229211730721,0.000132368439118978,5.66191403409528
2,9,10,0.0346095212812145,0.00014798262421005,6.10547658770487






