r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00263934499907522,4.10185606442133e-06,5.9100835127686
1,4,5,0.00262704684893627,4.56427740249323e-06,2.16143366364091
1,4,6,0.00262265286073402,4.53726618125076e-06,7.70220732902724
1,5,6,0.00261717843451801,4.84410179219908e-06,1.4461974727006
1,5,7,0.00261199821884434,4.87420907961987e-06,9.33949846282832
1,6,7,0.00260674072118625,5.0265066995789e-06,3.80635869312812
1,6,8,0.00260240261113654,5.26429552824671e-06,9.05345504433483
1,7,8,0.00259445537170108,5.92590132853444e-06,0.969972307104923
1,7,9,0.00259074240388275,6.20957707407106e-06,3.93451532132693
1,8,9,0.00258548933515892,6.69506615828633e-06,1.03916648403293
1,8,10,0.00257988145294237,6.92101108620551e-06,5.94524407732372
1,9,10,0.0025730149409854,7.4342423758302e-06,1.88209009855373
1,9,11,0.00256491664949251,7.63304703040234e-06,9.95027981855316
1,10,11,0.00255580838539248,7.98459136498643e-06,3.20142185602829

2,4,5,0.00376816995395835,9.6960075855363e-06,9.73682642064626
2,5,6,0.0037218374685655,9.80333324334149e-06,7.83223985989589
2,7,8,0.00363362103608222,1.13791563965138e-05,5.90287025354368
2,8,9,0.00359349137132277,1.22619204093006e-05,6.12853951433652
2,9,10,0.00354236125267893,1.37398109541232e-05,8.30578901317234






