r,t1,t2,meff,dmeff,chisqr

1,3,4,0.0029511350511015,4.59907797575685e-06,5.54827343604624
1,4,5,0.00293796345951443,5.09372068098542e-06,1.85236699496857
1,4,6,0.00293308288859606,5.05638286587272e-06,7.35011916557357
1,5,6,0.0029272208081937,5.40810196954054e-06,1.59657668330513
1,5,7,0.00292163029632853,5.47169610408073e-06,9.10304494498668
1,6,7,0.00291560155142133,5.6731778378509e-06,3.47372323173148
1,6,8,0.0029107777551616,5.95874344719936e-06,8.65875376830697
1,7,8,0.0029019318365331,6.73691389078978e-06,1.02912904172806
1,7,9,0.00289799263056314,7.07604826959217e-06,3.65421332366785
1,8,9,0.00289203782170484,7.66525522947114e-06,0.844721081823752
1,8,10,0.00288599327454628,7.91964185029473e-06,5.17759787692714
1,9,10,0.00287867682646624,8.52883356889431e-06,1.69107045144444
1,9,11,0.00286943948667724,8.72508042591882e-06,9.52541186005728
1,10,11,0.00285948101536867,9.08334275523005e-06,3.19183563719082

2,4,5,0.00421339448840615,1.056511722973e-05,9.64549403707399
2,5,6,0.0041614023510371,1.06691772849781e-05,8.77326136101396
2,7,8,0.00406313891450736,1.25055239657924e-05,6.46462158117223
2,8,9,0.0040181717353311,1.36776394464571e-05,5.78565999659906
2,9,10,0.00396121193689372,1.53538355674538e-05,8.15704055005442






