r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00555150732193974,1.49113047975911e-05,8.91771249039295
1,4,5,0.00548863203365762,1.71976550068831e-05,3.6627546160097
1,5,6,0.00543576444705398,1.76277725592544e-05,5.21430796381811
1,6,7,0.00538317312228359,1.82510193852643e-05,3.50633368861362
1,7,8,0.00532864605893085,2.11621591657127e-05,3.68960559082578
1,8,9,0.00527410583472571,2.3496010782839e-05,2.01327662026383
1,9,10,0.0052182739964479,2.60383467513408e-05,3.34549242086286
1,10,11,0.00514314124355041,2.8375292165036e-05,3.19873610710355
1,11,12,0.00505380001365275,2.97767750519936e-05,7.32772215956345

2,8,9,0.00674893087540774,4.6486238605717e-05,8.83017057024333



