r,t1,t2,meff,dmeff,chisqr

1,4,5,0.00234033634404262,6.99837273072108e-06,4.09228638861263
1,5,6,0.00231786180582563,7.5139020570279e-06,5.10158395168118
1,6,7,0.00229626285096768,7.86857437249478e-06,2.52371366469234
1,7,8,0.00227538846926338,9.05149080470158e-06,3.57995353953275
1,8,9,0.00225218220825384,1.02378206092924e-05,1.95928737170002
1,9,10,0.00222746598764601,1.15241918977075e-05,3.40356267067098
1,10,11,0.0021951410921087,1.25353573477279e-05,2.7584810430731
1,11,12,0.00215709034191242,1.30893164967578e-05,7.26061483758601

2,8,9,0.00288892591715755,1.97870826767557e-05,8.54789855351123



