r,t1,t2,meff,dmeff,chisqr

1,3,4,0.078933317675708,0.000228561322550988,5.69625582158525
1,4,5,0.0781697729324522,0.000255243510363584,3.48999918520213
1,5,6,0.0774780928124369,0.00029523773499574,2.60465399966623
1,6,7,0.0767164830724982,0.000329741871915631,2.44229204283845
1,7,8,0.0759067508578874,0.000372905866208084,3.2081510874114
1,7,9,0.0756271600248764,0.000394788507945134,7.97401747393432
1,8,9,0.0750518591597373,0.000445046505088391,1.04415891976653
1,8,10,0.0747061057701813,0.000462313930963913,5.38210481730413
1,9,10,0.0742289339581522,0.00051242375036433,1.53732480639905
1,9,11,0.073812715188845,0.00053412142858113,6.42616662660628
1,10,11,0.0732598442390522,0.0005686078705667,1.80967669930354
1,11,12,0.0718275676607902,0.000637709772101449,3.5679850537659

2,6,7,0.102370303749487,0.000518868803483716,9.13307286720878
2,8,9,0.0957715441476487,0.000738673555345333,8.12460437114884
2,10,11,0.0882917787911899,0.000875624657390297,9.02538274390063
2,11,12,0.0830069415573738,0.00112511786131958,9.26692268407817



