r,t1,t2,meff,dmeff,chisqr

1,1,2,0.340232509041327,0.000607881918080614,0.848238848931401
1,1,3,0.34016124313241,0.000625440762163964,0.985121967668147
1,1,4,0.340047634714837,0.000649076132051112,1.79618175523034
1,1,5,0.340031589801597,0.000657762915629677,1.8359684890831
1,1,6,0.340018102092152,0.000668407161013178,1.88521407591049
1,1,7,0.33999190090631,0.000668843816048505,2.32332577530756
1,1,8,0.339978471144953,0.000669733443606887,2.5903438116551
1,1,9,0.339960986990366,0.000672959109184983,3.36988390403941
1,1,10,0.339969589035836,0.000674342319999254,3.77221869839427
1,1,11,0.339964226809932,0.000675542119595122,4.20070570828873
1,1,12,0.339961671623634,0.000676438614810743,4.49310449038494
1,1,13,0.339962079987149,0.000676801194550244,4.52758008699084
1,1,14,0.339961799244473,0.000676902148754381,4.60444044761724
1,2,3,0.339762137101934,0.000735924356281989,0.00999832142977578
1,2,4,0.339625286078028,0.000773785085385329,0.339845605163099
1,2,5,0.339628717945909,0.000790851441686531,0.340422131081107
1,2,6,0.33962315751248,0.000811263651601197,0.34321642074281
1,2,7,0.339586023989428,0.000815365505697943,0.644955719203759
1,2,8,0.339566576069649,0.000819510480143077,0.839130999365117
1,2,9,0.339538954581416,0.00082651222461219,1.51740042786638
1,2,10,0.339554440096839,0.000829203491247568,1.97327040044793
1,2,11,0.339545717897444,0.000831371262480699,2.37013978094211
1,2,12,0.339541514290199,0.000832711972528807,2.64729050931
1,2,13,0.3395422290414,0.000833216062863981,2.68428420608926
1,2,14,0.339541759935157,0.000833360068786797,2.75945353203958
1,3,4,0.339518492575295,0.000994918981660003,0.303271947775625
1,3,5,0.339540928563211,0.00102796881834105,0.309123904634181
1,3,6,0.339537652551839,0.00106495117284013,0.309384342576239
1,3,7,0.339471609906618,0.00107572602662642,0.580977504585749
1,3,8,0.339437433826525,0.00108631489633499,0.755689214285411
1,3,9,0.339387776081341,0.00109980600782388,1.40149083436599
1,3,10,0.339416817269789,0.00110387637920965,1.87660295676754
1,3,11,0.339401026719914,0.00110784060982518,2.26303968494305
1,3,12,0.339393391077216,0.00111000765510995,2.53496281509253
1,3,13,0.339394717601013,0.0011106704421208,2.57286385194567
1,3,14,0.339393860869469,0.00111087647300113,2.64744286999039
1,4,5,0.339190135770952,0.00131362583646148,0.0998666052581112
1,4,6,0.339240985103807,0.00138059017488438,0.114402187017958
1,4,7,0.339134245984154,0.00140955839869085,0.300885840800872
1,4,8,0.339079236223161,0.00144375874006274,0.42566991182181
1,4,9,0.338991921670024,0.00147469753028271,0.988081132534108
1,4,10,0.339049272659079,0.0014869191005086,1.5159702682825
1,4,11,0.339020809557158,0.00149647796105913,1.87544549658899
1,4,12,0.339006908712372,0.00150135609968887,2.13391655197465
1,4,13,0.339009462917058,0.00150307882976929,2.17423794949242
1,4,14,0.339007880150414,0.00150378923152588,2.24728680417298
1,5,6,0.339606751775749,0.00186304545863335,0.00322695185068525
1,5,7,0.3393267355147,0.0019281376397076,0.262365703070743
1,5,8,0.339201729571678,0.00201128445209733,0.408605387655345
1,5,9,0.33902035877562,0.00207027663380954,0.987113802698336
1,5,10,0.33913545012759,0.00209498607447164,1.50687719369403
1,5,11,0.339077790114993,0.00211115838252802,1.87143643136274
1,5,12,0.339049786431379,0.00211987304371744,2.13164003938056
1,5,13,0.339054893994146,0.00212312866101995,2.1716806817012
1,5,14,0.339051714469796,0.00212450241940807,2.2449058309257
1,6,7,0.338935663230356,0.00246264623199611,0.187948378647069
1,6,8,0.338731715766331,0.00261328231026569,0.279081027647564
1,6,9,0.338410915565954,0.00271478803013676,0.746267783847314
1,6,10,0.338648565353577,0.00277125828185427,1.34599319066679
1,6,11,0.338544277529098,0.00281298578076745,1.67507286918182
1,6,12,0.338493082515625,0.00283623416846327,1.91667206957946
1,6,13,0.338503188115461,0.00284538860329022,1.96030770295049
1,6,14,0.338497253209773,0.00284948185041434,2.03136322501901
1,7,8,0.337515921872786,0.00378872128458373,0.00471762183756171
1,7,9,0.33694878144858,0.00396933454990055,0.246461201534777
1,7,10,0.337581167174991,0.00407478653062136,1.05197251124755
1,7,11,0.337374744168854,0.00416375196353779,1.3096117072442
1,7,12,0.337270635788702,0.00422391760825549,1.51280841393084
1,7,13,0.337295047622159,0.00425596416200049,1.56486828605309
1,7,14,0.337282364756205,0.00427091146232809,1.63128530975753
1,8,9,0.335937654350974,0.00551310339927412,0.151403154463996
1,8,10,0.337495783598017,0.00567405112679769,1.05112017750096
1,8,11,0.337053446039632,0.00586015171391386,1.29658004379488
1,8,12,0.336835582399326,0.00601223678059362,1.48831503417862
1,8,13,0.336889411971834,0.00610568872078319,1.54346148795938
