r,t1,t2,meff,dmeff,chisqr,pval

1,2,3,0.257357357856819,0.000290823930898782,1.65561390141211,0.198196568137687
1,2,4,0.25729951712654,0.000297782047511126,1.97055417650534,0.373335765648406
1,3,4,0.257060198914352,0.000334094316588418,0.00321903861626629,0.95475504058335
1,3,5,0.256943729540493,0.000352611533753181,1.08251925569399,0.582014668565805
1,3,6,0.256844851230857,0.0003588025062126,2.49687638139565,0.475855855676156
1,4,5,0.256827580250593,0.000453680073883693,0.867366689284747,0.351685353355144
1,4,6,0.25667041487318,0.000454445785088565,1.78348777024345,0.409940240362006
1,5,6,0.256293039256988,0.000536727893776168,0.113159342456851,0.736575545023078
1,5,7,0.256146993629357,0.000552702286677112,0.793524057417043,0.672494040867803
1,5,8,0.256047592684012,0.000577074243741366,1.60392928776982,0.658499208581256
1,6,7,0.255910550344659,0.00066957139306866,0.357558484051218,0.549865327514431
1,6,8,0.255771193663384,0.000708273114116747,0.843431619411863,0.655920419125329
1,6,9,0.255565213541509,0.000739246770029876,2.94421021618608,0.40030708895146
1,7,8,0.255290599760648,0.000948971672589351,0.107184175304797,0.743372971444136
1,7,9,0.254945617847107,0.000982123807902454,1.31081913148385,0.519229360474019
1,7,10,0.254920664752051,0.00100819777841433,1.32854376842625,0.722366493274194
1,7,11,0.254843542209773,0.00103827939107408,1.71840321099444,0.787372005429497
1,8,9,0.254333759809271,0.00127793448513744,0.60451377133569,0.436860981889991
1,8,10,0.254379362110367,0.00132932037085909,0.618130502218343,0.734132865479616
1,8,11,0.254269278338167,0.00139331638323437,0.824982259799957,0.843482745350571
1,9,10,0.253776544623408,0.00167192186669881,0.200130400136856,0.654615611374375
1,9,11,0.253647917362278,0.00178961005553047,0.272241978231465,0.872737034418678
1,9,12,0.253262155724541,0.00189470170318535,2.36266489217327,0.500622376875794
1,10,11,0.254034822794682,0.00249069062265866,0.200791600842941,0.65408264593969
1,10,12,0.253116149561393,0.00271083023266047,2.35064621752675,0.308719213687889
1,11,12,0.250874132291157,0.00374504277932946,1.28237657093256,0.257457619386692
1,12,13,0.240817892401149,0.00603680785913537,2.82825761506389,0.0926187957030392

2,3,4,0.429241750002392,0.00145228190116218,0.0364283312689611,0.848633654499899
2,3,5,0.429089948885951,0.00152825140155212,0.176264575815371,0.9156397406456
2,4,5,0.428622071176497,0.00213881948409741,0.0559193022316743,0.813065947295562
2,4,6,0.4275195007508,0.00215954398432614,2.89449084773413,0.235217320551836
2,5,6,0.42564196879946,0.00301737040407078,1.86623537688187,0.171906869966458
2,5,7,0.424760502232265,0.00310714028754084,2.91791757374876,0.232478208117505
2,6,7,0.420276814262037,0.00424840656969826,0.102397158007962,0.748971696834539
2,7,8,0.413368713192982,0.00629966458987432,1.69402451835961,0.193071297593731
2,8,9,0.39954917390332,0.00856412561226713,1.45696839482925,0.227413097448967
2,9,10,0.376594076449277,0.014762743840424,1.12767104051231,0.288272655849669
2,10,11,0.337500821655353,0.0219817630495835,2.26034604277812,0.132724400498458
2,10,12,0.335243248978839,0.0238279989634917,2.41851037964604,0.2984194625302
2,11,12,0.303838807754926,0.0339551654927261,0.0582870203419023,0.809224150034137
2,13,14,0.0874844520732222,0.0897080987790999,1.76726206906001,0.183721282823295

3,2,3,0.549265000329607,0.0020835824281814,1.58647113376927,0.207831035743538
3,2,4,0.549181532195653,0.00209700587576137,1.60824643629845,0.447480097037921
3,3,4,0.546652103927131,0.00305462241191206,0.210297123683349,0.646534621158228
3,5,6,0.51756921552377,0.00912383914792498,2.11959801815621,0.145424708730671

