r,t1,t2,meff,dmeff,chisqr

1,2,3,0.266982696022164,0.000139619506421252,1.12355928060112
1,2,4,0.266955358282364,0.000144380781836908,1.44217184837312
1,2,5,0.26695134450401,0.000150287217133038,1.46030337195932
1,2,6,0.266939622818014,0.000154521335678951,1.77837314881347
1,2,7,0.266945715839309,0.000157495180437824,1.95016216599376
1,2,8,0.266955817629221,0.000159072763342271,2.65724588231026
1,2,9,0.266954249011346,0.00016066336385696,2.6934083047638
1,2,10,0.266949560300058,0.000162172783300006,3.25741406858235
1,2,11,0.266945551270432,0.000163217433670922,4.06492102577281
1,2,12,0.266942440617937,0.000164233673213953,4.76484142996201
1,2,13,0.266939557697426,0.000164935136894893,5.64173985762224
1,2,14,0.266935163841711,0.000165539114993371,9.35131505164414
1,3,4,0.266845219283912,0.000172494916363262,0.0011355640106507
1,3,5,0.266857413913868,0.000182154386432953,0.0498770153211545
1,3,6,0.266845990740876,0.000189850654121679,0.14996583426833
1,3,7,0.266860570651557,0.000195888681935972,0.496045816219006
1,3,8,0.266879938324354,0.000198533583922199,1.44072226648692
1,3,9,0.266878526772029,0.00020170361614676,1.45156860919882
1,3,10,0.266871538167644,0.000204207734933058,1.92008907857227
1,3,11,0.266865356309724,0.000205790106858377,2.64173911972192
1,3,12,0.266860544467349,0.000207429599344774,3.27309613165643
1,3,13,0.266856031991006,0.000208500524464553,4.08463165015585
1,3,14,0.266848987947918,0.000209454672211358,7.69065720526444
1,4,5,0.266872868016568,0.000220708179510535,0.0328281262211946
1,4,6,0.266849584668175,0.000233394135351108,0.148751408180049
1,4,7,0.266874775792744,0.000243742158550601,0.474350651484572
1,4,8,0.266907067536426,0.000248769229720217,1.35426672850818
1,4,9,0.266903983965467,0.000254750896607259,1.37221589810907
1,4,10,0.266891874999156,0.000259483755151155,1.86823240372939
1,4,11,0.2668813746032,0.000262456620245169,2.6091763265484
1,4,12,0.266873253806946,0.000265716269720977,3.25242426515954
1,4,13,0.266865682153127,0.000267729966184726,4.0726449307303
1,4,14,0.266853924152719,0.000269385402023889,7.68751099059577
1,5,6,0.26684830213378,0.000298904394653063,0.148693603000147
1,5,7,0.266898982212413,0.00031383645760872,0.447482735033584
1,5,8,0.266957813345195,0.000320555128754875,1.21494850863283
1,5,9,0.266949660231355,0.000331461722173896,1.25053291132562
1,5,10,0.266926224761959,0.000339267421474972,1.79644049182542
1,5,11,0.266906622841863,0.000344432759994533,2.56954943594622
1,5,12,0.26689165177749,0.000350156549210312,3.23106953395346
1,5,13,0.266877837308184,0.000353598799294872,4.06322894507153
1,5,14,0.266856560926409,0.000356417492163171,7.68706544098917
1,6,7,0.266881033999221,0.000399862503140889,0.44097319093944
1,6,8,0.266997043891802,0.000407093087529808,1.17169161278298
1,6,9,0.266978671680193,0.000425686427265805,1.22330049676981
1,6,10,0.266935285237704,0.000439372436310892,1.79357132976543
1,6,11,0.266900329681618,0.000449210065638482,2.56811093497192
1,6,12,0.266874099089613,0.000459101416688463,3.21957939197475
1,6,13,0.266850116563442,0.000465053130144433,4.03405194190169
1,6,14,0.266813144090572,0.000469607424454452,7.61478792826141
1,7,8,0.26728396305333,0.000500804515347656,0.151203451262041
1,7,9,0.267201224909749,0.000532117502064975,0.415756612591358
1,7,10,0.267102542288562,0.00055681061463671,1.26777972695793
1,7,11,0.267032847056174,0.00057466912941327,2.2144303937542
1,7,12,0.266982710145558,0.000591086083532317,2.9706255485639
1,7,13,0.266938645532947,0.000602604652090899,3.86335840437622
1,7,14,0.266873380675292,0.000609967904012234,7.53439939963947
1,8,9,0.267244970565202,0.00065561829177051,0.400364087670229
1,8,10,0.267059630718526,0.000694389748155825,1.24844759809981
1,8,11,0.266941197333938,0.000725560214648248,2.11465901261358
1,8,12,0.26686015039574,0.000752418290048759,2.7770494303737
1,8,13,0.266790010747073,0.000773094336059742,3.56282813579883
1,8,14,0.266683546902672,0.000785415917905887,7.02969537087923
1,9,10,0.266528814549185,0.000929081328669919,0.234310815442638
1,9,11,0.266365098401918,0.000976662097239177,0.577271311041473
1,9,12,0.266261715727651,0.00101708991586946,0.836219200210538
1,9,13,0.26616535717804,0.00105169085567305,1.22458313870276
1,9,14,0.26598537372775,0.00107274427091038,3.94957735528751
1,10,11,0.265885521326008,0.00123109278392724,0.0867274602102689
1,10,12,0.265779189785577,0.00128922499288512,0.153614247409741
1,10,13,0.265660907933681,0.00134209959447763,0.322113822696357
1,10,14,0.265374157159131,0.00137660085933858,2.48983316745646
1,11,12,0.265430541044794,0.00164144594101187,0.00453820245017819
1,11,13,0.265283605675434,0.00169731638063509,0.0686420099429964
1,11,14,0.264809569774739,0.00174411248732157,1.81265102561425
1,12,13,0.26509979354283,0.00195562647810497,0.0352375078774875
1,12,14,0.264330678546006,0.00203021890345547,1.50140559113079
1,13,14,0.263392671169058,0.00243482609214939,0.980001572025692

2,2,3,0.460774134174623,0.000411875842132889,5.41062215187317
2,2,4,0.460654833367855,0.000419100724219949,6.34551643181286
2,3,4,0.459759629665491,0.000576193743848863,0.0126655838782542
2,3,5,0.459384866158655,0.00060325961781511,5.90017898151252
2,3,6,0.45937529343091,0.000618488580955903,5.91148346267169
2,3,7,0.459285611282713,0.000629547480636032,8.95698153357678
2,3,8,0.459266540462183,0.000635420225371707,9.33117868725225
