r,t1,t2,meff,dmeff,chisqr

1,3,4,0.0532104485747469,0.000146621252152655,7.27739004492357
1,4,5,0.0525910199656206,0.000162524900980264,6.89395980003791
1,5,6,0.052010126408738,0.000169344760462605,3.61457494930971
1,6,7,0.0515174593196915,0.000175582857907886,5.38450021448176
1,7,8,0.0509491028358944,0.000209387797577158,2.92778955328066
1,8,9,0.050338090049042,0.000244240538154231,3.9353798719475
1,9,10,0.0496370261906105,0.000276810941042181,2.69679769438814
1,10,11,0.0489302476064944,0.000305437355758844,3.05829116013468
1,11,12,0.0480023079914062,0.000338232582545428,5.48506646682404




