r,t1,t2,meff,dmeff,chisqr

1,3,4,0.0035865426008328,5.41244140931309e-06,5.35866054704495
1,4,5,0.0035714238685525,6.00456935706454e-06,1.82071825866983
1,4,6,0.00356558980054379,5.99680407987312e-06,7.5825021052424
1,5,6,0.00355833324876468,6.52588863926433e-06,1.70968513799463
1,5,7,0.00355184129495186,6.62186989282126e-06,8.90353024083079
1,6,7,0.00354439961183759,6.89064233543044e-06,3.2400334896841
1,6,8,0.00353851521097116,7.25012376472463e-06,8.44715253726102
1,7,8,0.00352775895557926,8.27589611756163e-06,1.06415349825326
1,7,9,0.00352313513850641,8.71212033786564e-06,3.5186121426523
1,8,9,0.00351589066701831,9.42562651804372e-06,0.769839028653725
1,8,10,0.00350883290167571,9.74661881882293e-06,4.67470022668815
1,9,10,0.00350009750420248,1.05643913745922e-05,1.48232361351099
1,9,11,0.00348890603011081,1.08012455614524e-05,8.94120644642009
1,10,11,0.00347725354090015,1.11950726197019e-05,3.15381259839743

2,4,5,0.00511933310291624,1.2460582720359e-05,9.84417122379649
2,5,6,0.00505528612693665,1.27490255746545e-05,9.89695774807001
2,7,8,0.00493414798084108,1.48491371576504e-05,7.36865621484021
2,8,9,0.00488040896467221,1.63145974818044e-05,5.7126416253029
2,9,10,0.00481037394356662,1.8544993861509e-05,8.07132610058096






