r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00418998399000783,6.33348221336443e-06,5.16929117693274
1,4,5,0.00417185910790911,7.10781842847524e-06,2.0606751359732
1,4,6,0.00416465274913319,7.09010312806458e-06,8.29898872075828
1,5,6,0.00415564584378662,7.70037169935593e-06,1.78356884967967
1,5,7,0.00414753067042549,7.80318539050588e-06,9.78159539037824
1,6,7,0.00413852708380041,8.09188870534411e-06,3.68627118357426
1,6,8,0.00413125351051478,8.49617068933165e-06,9.40064576334917
1,7,8,0.00411799950661997,9.66616675503823e-06,1.12319753876485
1,7,9,0.00411232630060289,1.01914284623627e-05,3.85182988927688
1,8,9,0.00410356428006797,1.10111629101011e-05,0.893464474568311
1,8,10,0.00409535208270374,1.14219100091674e-05,4.83857627920484
1,9,10,0.00408464058657076,1.24435105814027e-05,1.41884749457175
1,9,11,0.00407173380552018,1.27089227416228e-05,8.54033844542112
1,10,11,0.00405824580688405,1.31871181881205e-05,2.9730928188764

2,5,6,0.00590594811047365,1.47187159069546e-05,9.86403680099719
2,7,8,0.00576002911566191,1.70627596746187e-05,7.38462730570865
2,8,9,0.00569670814087245,1.870171265153e-05,6.50217902305404
2,9,10,0.00561436642478346,2.12508707415404e-05,8.082016044889






