r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00630113937911843,1.02867886849232e-05,5.88368233898672
1,4,5,0.00627032192659222,1.14377049645832e-05,2.27133423045915
1,4,6,0.00625944906292106,1.15657559206849e-05,8.06447839307791
1,5,6,0.00624482087910698,1.25256543770632e-05,1.57517407829287
1,5,7,0.00623307122727079,1.27472975551316e-05,7.84579775513483
1,6,7,0.00621935128956493,1.33105760866426e-05,2.64238154733646
1,6,8,0.00620880533049772,1.39476502128696e-05,7.08699244134246
1,7,8,0.00619089958454143,1.55066078141483e-05,0.983719940951163
1,7,9,0.00618173030230404,1.63467262412565e-05,3.74217262774378
1,8,9,0.00616815251005774,1.76306097185035e-05,0.959933489632265
1,8,10,0.00615434683783419,1.8357637151862e-05,5.40258461973586
1,9,10,0.00613640986881202,1.9957538205593e-05,1.66599723361177
1,9,11,0.00611705193426206,2.05015271441448e-05,8.05822229335244
1,10,11,0.00609469838822676,2.14115778154633e-05,2.39822998545194

2,5,6,0.00887777997255148,2.38173183211614e-05,8.63616325311147
2,6,7,0.00878541804928928,2.42826445645763e-05,8.98429488677978
2,7,8,0.00866790970872036,2.76249411371333e-05,6.25427763908533
2,8,9,0.00857547408181081,2.99027770620983e-05,6.0279299081841
2,9,10,0.00844657557982255,3.48176103689923e-05,7.57322285120794






