r,meff,dmeff
1,0.266659473159313,0.000365749911049086
2,0.455874059385294,0.00170217393695053
3,0.61336880013675,0.00548677602544636
4,0.779462564470735,0.0103717531249657
5,0.95075514036539,0.00911385666540742
6,1.11284592090837,0.0682681588002074
7,1.29167233059693,0.0440064458881766
8,1.46563865617214,0.0991064390235439
