r,t1,t2,meff,dmeff,chisqr,pval
,,,,,,
1,2,3,0.266926438760595,0.000236673911763178,2.41729660730536,0.120001863596538
1,2,4,0.266894169318581,0.000248217185761759,2.62071149663034,0.269724085425995
1,2,5,0.266883396609163,0.00025952639804482,2.67383509301816,0.444692074334162
1,2,6,0.266891598452181,0.000271676380735994,2.73185138504819,0.603652647234861
1,3,4,0.266601274329191,0.000323389983379153,0.0840583535068889,0.771871177357421
1,3,5,0.266622881400641,0.000344634584612905,0.134376575313406,0.9350191322001
1,3,6,0.266659473159313,0.000365749911049086,0.441609070982089,0.931519048621072
1,4,5,0.266722450671028,0.00047457864711849,0.00288358235791707,0.957174981341811
1,4,6,0.266783943278984,0.000508340504480163,0.171128884073431,0.917993983746001
1,5,6,0.26687149387074,0.000632913768248802,0.109163441231027,0.741098563312295
,,,,,,
2,4,5,0.456050171002355,0.00162179452003828,2.50076918844437,0.11379070914254
2,4,6,0.455874059385294,0.00170217393695053,2.68981219003276,0.260564174985749
2,5,6,0.458208166542515,0.00275443501184652,1.10512452339389,0.293144229851877
,,,,,,
3,3,4,0.621391783564933,0.00295743047618366,1.73565903648501,0.187689796801142
3,4,5,0.61336880013675,0.00548677602544636,0.347316616466977,0.555636073039583
3,5,6,0.600596115560083,0.0109989379506692,1.63412508824789,0.20113343896528
,,,,,,
4,2,3,0.788542259125197,0.00387091358159326,0.25711835152158,0.612106833758139
4,2,4,0.788083378114941,0.00395906109597842,0.672562713345056,0.714422070119587
4,2,5,0.787610410156294,0.00397612355945528,2.55913220106646,0.464699285905815
4,3,4,0.781964499405526,0.0104453102480668,0.112622882298219,0.737177555432241
4,3,5,0.779462564470735,0.0103717531249657,1.49625398384931,0.473252128194915
4,3,6,0.77879230478495,0.0102629552049628,2.0802983343849,0.555908815967687
4,4,5,0.769097926870975,0.0180246586634682,0.913628789676373,0.339153423854934
4,4,6,0.767194099823262,0.017748396002595,1.31667735685939,0.517710704409567
4,5,6,0.734375726180349,0.0354122762369113,0.0666260668654421,0.796314098662834
,,,,,,
5,1,2,0.9675040686978,0.00461006412907223,2.65080839814725,0.103497251874868
5,2,3,0.951373926928926,0.0092534954729623,0.271615013951252,0.602250459169991
5,2,4,0.95075514036539,0.00911385666540742,0.511304321409472,0.774411292627098
5,3,4,0.938443010626039,0.0210588283657564,0.0920174860293921,0.761627838638972
5,5,6,0.697609402320946,0.118161570368059,0.68950213349089,0.406333775195094
,,,,,,
6,1,2,1.11978732871134,0.00853050799076054,0.368932425692325,0.543586763394181
6,1,3,1.11975453306127,0.00849097359876607,0.369907746356648,0.831142620935398
6,1,4,1.1196698055467,0.00849188254330766,0.437895499555471,0.932307571611822
6,1,5,1.11952500929707,0.00848970271538673,1.52251731128421,0.822645463273901
6,1,6,1.1194654130226,0.00849791898109551,2.01665713590718,0.846835436351339
6,2,3,1.10908019701626,0.0204718565068451,0.0177413283794621,0.894037917128635
6,2,4,1.1086978868526,0.0205741197926526,0.0621169114749819,0.969418903322775
6,2,5,1.10790977790326,0.0204526094079573,1.10061888017759,0.776924685575632
6,2,6,1.10758525421395,0.0204192120659395,1.57499667722242,0.813278823029887
6,3,4,1.11284592090837,0.0682681588002074,0.0575329508794075,0.810438578923574
6,3,5,1.10453760189596,0.0653744386477158,1.09753530544125,0.577661251190682
6,3,6,1.10118194843962,0.0635031990699031,1.56380566002967,0.667624198837249
6,4,5,0.990645634567612,0.192128589422987,0.730887334136416,0.392595720100704
6,4,6,0.965970775049107,0.176694585537196,1.01400059808533,0.602299590369765
6,5,6,0.578877385410241,0.427963742796629,0.00335978232348591,0.953777599396129
,,,,,,
7,1,2,1.25924238773807,0.0143282040581514,0.522554671154751,0.469753961819568
7,1,3,1.25968683134716,0.0143332843874787,0.702852546635956,0.703683728316047
7,1,4,1.25951114861512,0.0143791656015046,0.996774188251128,0.802032508229285
7,1,5,1.25945544464546,0.0143782078674515,1.0969203230028,0.894760523020111
7,1,6,1.25949384941101,0.0143764248959656,1.16335702551439,0.948344083619673
7,2,3,1.29360558012272,0.0445813115446172,0.0639180278203551,0.800407196630901
7,2,4,1.29167233059693,0.0440064458881766,0.418995665004662,0.81099139725315
7,2,5,1.29106683143062,0.043855641514039,0.537772776836684,0.91051789359163
7,2,6,1.29141438867498,0.04379810938439,0.592521671029575,0.963891063077101
7,3,4,1.30409824195889,0.178713450873276,0.414055200620855,0.519918388754577
7,3,5,1.29390672126275,0.172929381265078,0.537507608272987,0.764331407717046
7,3,6,1.2994307305779,0.171902306341117,0.590368088347744,0.898633796079306
7,4,5,0.92061884923232,0.460384105409318,0.000372643674187136,0.984598608313269
7,4,6,1.01658228856144,0.418893453915401,0.225083803056612,0.893559904798432
7,5,6,1.1947257473245,0.751768712687686,0.160955965053323,0.688277903950352
,,,,,,
8,1,2,1.40826627047189,0.025458350983988,0.99462951705093,0.318613506383006
8,1,3,1.40635311325873,0.0252124142227657,2.39897720165477,0.301348281775212
8,1,4,1.4061046086699,0.0252501395337724,2.52927508924328,0.470023643714759
8,2,3,1.47066185613144,0.100647323112607,1.97430878137825,0.15999125091316
8,2,4,1.46563865617214,0.0991064390235439,2.16019954665156,0.339561644760159
8,3,4,0.980064947187338,0.311249208588738,0.0176379133993322,0.894345380562251
8,3,5,0.900992542172058,0.28198644984637,0.683669653608124,0.710465544882837
8,4,5,0.691096917484279,0.486610021306124,0.571246751711534,0.449763915395639
