r,t1,t2,meff,dmeff,chisqr

1,4,5,0.00378996986657622,1.11621363350889e-05,4.18748379889532
1,5,6,0.00375318280702349,1.17541654333597e-05,5.82801380928124
1,6,7,0.00371653329967358,1.23470024315763e-05,3.22865562664486
1,7,8,0.00368015403573601,1.43424706648984e-05,3.98626308149908
1,8,9,0.00364182098511789,1.62033569620969e-05,2.04231872174581
1,9,10,0.0036022183530866,1.81884899563333e-05,3.47323580608052
1,10,11,0.00354954215001771,1.97516171733868e-05,3.08766250758903
1,11,12,0.00348782633766724,2.06145131484581e-05,7.45124515906803

2,8,9,0.00466769412346409,3.11832619186866e-05,9.23833562798794



