r,t1,t2,meff,dmeff,chisqr

1,1,2,0.123710888458156,0.000406228972315841,7.0742259199483
1,2,3,0.12237557625896,0.000507006639721586,1.44672410099763
1,2,4,0.122181469149677,0.000546645804403458,2.85946496430255
1,2,5,0.122012091912962,0.00057897646490182,4.93053118509548
1,2,6,0.121865051315831,0.000609012566843853,7.68208379210165
1,3,4,0.121669564015402,0.000630616180142927,0.217274017725533
1,3,5,0.121492026883062,0.000670914998119501,0.904789101072341
1,3,6,0.121324578942149,0.000710006610837864,2.18481257825095
1,3,7,0.121174667542538,0.000744429118406893,3.79382215782909
1,3,8,0.120985221942133,0.0007762138368693,7.5855878867122
1,4,5,0.121174418102064,0.000773938013386619,0.223330753170776
1,4,6,0.120962521912516,0.000821534316470672,0.848061983213734
1,4,7,0.120781731824718,0.000861092319695983,1.70818099607368
1,4,8,0.120538319195029,0.000897719662239369,4.2839366057078
1,4,9,0.120306418930251,0.000931421337543365,7.76338725456158
1,5,6,0.120618495530017,0.000909304337855132,0.210873436063848
1,5,7,0.120419474649187,0.000950843437076927,0.579366389681715
1,5,8,0.120120380528798,0.000990789886277063,2.23221044660027
1,5,9,0.119842538235736,0.00102894362318025,4.59530076336827
1,5,10,0.119652388962994,0.00106564486582975,6.40355690376941
1,5,11,0.119475743493277,0.00109995706177193,8.7452010924449
1,6,7,0.120071471018898,0.00104243282306724,0.0813699446047584
1,6,8,0.119697088059918,0.00108367673174099,1.0154600054333
1,6,9,0.119368558927946,0.00112335720394418,2.46069515425405
1,6,10,0.119159833743865,0.00116523948980835,3.52238868412019
1,6,11,0.118961162912541,0.00120515263311079,5.06291342529795
1,6,12,0.11870968049399,0.00123956194895321,8.83100152989475
1,7,8,0.119316376532053,0.00115350019103865,0.486075888764733
1,7,9,0.118931142370821,0.00119338196346114,1.28525472060368
1,7,10,0.118713696261489,0.00124124152082942,1.83680047207241
1,7,11,0.118497329902185,0.00128783295319661,2.79675047361079
1,7,12,0.118202520863462,0.00132830864090293,5.6766277223985
1,8,9,0.118325650528197,0.00126864312886349,0.180785093237691
1,8,10,0.118156838055191,0.00132480708728448,0.31392139811945
1,8,11,0.117944624239499,0.00138025436727205,0.750831028077906
1,8,12,0.117604967969848,0.00142939845900322,2.73199773564348
1,9,10,0.117802245137633,0.00141482974831249,0.0125157011585133
1,9,11,0.117572065681433,0.0014824879404377,0.215569170257347
1,9,12,0.117148540965039,0.00154272623700517,1.64952982582377
1,10,11,0.117330618970202,0.00161145742295071,0.112241033331407
1,10,12,0.116735595106548,0.00168070675936889,1.16750316278254
1,11,12,0.116055835481907,0.00182335337874621,0.529996997837928
1,11,13,0.114172075435833,0.00192915239216855,9.37157565381789
1,12,13,0.112082978326458,0.0021340238550541,5.07417388748094

2,2,3,0.184609082611101,0.00168104788110133,2.72274285543544
2,2,4,0.183612090906106,0.00182455375063124,6.26536972280269
2,3,4,0.180935563764945,0.00218970201898987,0.639817312249387
2,3,5,0.180092841606527,0.00232266140316606,1.85734477661274
2,3,6,0.178972952510565,0.00242787458497598,5.86479455326315
2,4,5,0.178497553594137,0.00261941022202354,0.283166292453521
2,4,6,0.177107449019598,0.00271351997473412,2.32446800544724
2,4,7,0.175944571769484,0.00283251105678471,5.50558616059064
2,5,6,0.175538807124552,0.00289847165501377,0.927256341734982
2,5,7,0.174172187396919,0.00303748358125786,2.64186508912462
2,5,8,0.17285438432023,0.00314652023778138,5.58662479258786
2,6,7,0.171987564419332,0.00323667591628275,0.471008587252142
2,6,8,0.170614605035195,0.00335411506818977,1.74168790848819
2,6,9,0.169154219076738,0.00345737547797605,4.66926180917081
2,6,10,0.167960900615867,0.00355084889109023,7.91809154138441
2,7,8,0.168644071402374,0.00363146192812053,0.367412657290474
2,7,9,0.166982485034868,0.00371680091291023,1.82273929005628
2,7,10,0.165712360811763,0.00380780948434112,3.53653561030315
2,8,9,0.165042999488596,0.00388584374700308,0.568976729325049
2,8,10,0.163750402452324,0.00399483113581062,1.32923784416508
2,8,11,0.161221628316558,0.00406644167380528,7.02454653537753
2,9,10,0.161658116099602,0.00423812247179137,0.141023463899955
2,9,11,0.15856744583784,0.00430344886377799,3.66863160921297
2,10,11,0.155989541569301,0.00452196744761002,2.05774373720899
2,10,12,0.151781456550198,0.00467826377615376,8.45573163153122
2,11,12,0.146158589225455,0.00499461052288887,2.38922202145212
2,12,13,0.131253904313347,0.00598879326467488,5.88432828601939

3,2,3,0.222738823548517,0.00350703085273945,4.50552562167635
3,3,4,0.212637563719275,0.00447715631885996,1.29799359442087
3,3,5,0.209546500295628,0.00470567416881371,4.98648025448441
3,4,5,0.204717177201777,0.00518192024779639,1.12015589428632
3,4,6,0.20048800909186,0.00524485444573595,5.37848541895169
3,5,6,0.195707285026788,0.00546038583599732,1.46289402824271
3,5,7,0.190591406252095,0.00557812053746203,7.30793214121727
3,6,7,0.185133277010802,0.00570578641287969,2.37978476484704
3,7,8,0.16958217487132,0.00554188900003341,3.51416679867151
3,8,9,0.155095681989886,0.00493715845825281,4.11444075630717
3,9,10,0.140024680451776,0.00458757427427703,5.04685980541923

4,2,3,0.2356213707835,0.00578375385275299,6.49095395278385
4,3,4,0.215772723163821,0.00703308490064308,2.39000048160556
4,4,5,0.19581011180292,0.00756564906169858,3.93117967497226
4,5,6,0.169143766122321,0.00651677663884473,7.37415308008869

5,3,4,0.141924955844719,0.00941867797911754,5.72150663542705
