r,t1,t2,meff,dmeff,chisqr

1,3,4,0.0536642323608111,8.24789611493567e-05,7.69648959761127
1,4,5,0.0533658050644533,9.48022046888662e-05,2.80229471758062
1,4,6,0.0532674494505729,9.57535889657242e-05,9.76883281051709
1,5,6,0.0531317797967194,0.000104830198753323,1.94817110402327
1,5,7,0.0530472109389295,0.00010630158786623,6.3807619412442
1,6,7,0.0529329589821079,0.000111903904021108,1.36589442198918
1,6,8,0.0528540142947201,0.000116702153957354,4.92044220422137
1,7,8,0.0527375961572539,0.000128665116713254,1.13591682535992
1,7,9,0.0526563571883757,0.000135348936545937,4.31050604095057
1,8,9,0.052529981843621,0.000148597259886679,1.07903470309062
1,8,10,0.0524086555708987,0.000155775409432215,6.27505386459992
1,9,10,0.0522402183959915,0.000172981336553415,2.09104761329642
1,9,11,0.0520785938564697,0.000179437732800634,8.36087949588831
1,10,11,0.0518547247383184,0.000193250433733781,2.02767437637214

2,6,7,0.0747954958745825,0.000186077020931101,6.58285630117275
2,7,8,0.0740989414371762,0.000208991837345314,5.57824477744553
2,8,9,0.0733579361875698,0.000250912918226638,4.40340303116322
2,9,10,0.0723921654425741,0.000309083063926307,6.5932825357806






