r,t1,t2,meff,dmeff,chisqr

1,3,4,0.00503473709890198,7.75754386859101e-06,5.2970767144716
1,4,5,0.00501197706534563,8.62730208644754e-06,2.31100113519226
1,4,6,0.00500379164889969,8.64945464728314e-06,7.93553113548713
1,5,6,0.00499283961239941,9.38540406341252e-06,1.47095518156802
1,5,7,0.00498304919598136,9.48309836512554e-06,8.97889370563574
1,6,7,0.00497255807824178,9.88400905334425e-06,3.43168773631894
1,6,8,0.00496434223097593,1.03619489055274e-05,8.32353642871034
1,7,8,0.00494968937650717,1.15414825955348e-05,0.968665164329985
1,7,9,0.00494294454097822,1.2212502099673e-05,3.72514770976165
1,8,9,0.00493260827391366,1.33163426210324e-05,0.968732513975963
1,8,10,0.00492248338006485,1.38440062251769e-05,5.11603370956713
1,9,10,0.0049090042285932,1.51217025308323e-05,1.47386502319602
1,9,11,0.00489345758314681,1.5397244745996e-05,8.38048563114839
1,10,11,0.0048770858009914,1.59641911903153e-05,2.77519074550095

2,5,6,0.00709654837308918,1.82724473286013e-05,8.66010883123572
2,7,8,0.00692578564699752,2.13228948032387e-05,6.34159047778613
2,8,9,0.00685132607409117,2.33975325656381e-05,6.28946349851044
2,9,10,0.00675077595520501,2.70000688454676e-05,7.35186765742334






